0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
0,0,22,0,6,0,4,0,0,1,1,1,0,0,9,4,4,37,1,2,0,9,26,0,0,0,6,7,1,12,5,12,0,0,0,7,1,0,14,12,34,0,0,1,2,0,0,5,0,0,1,0,0,3,0,0,30,5,11,0,2,0,0,12,0,15,7,0
0,2,3,0,0,0,5,0,0,1,1,1,0,0,0,6,0,2,0,2,0,0,5,0,0,0,0,0,2,1,0,0,5,0,0,2,0,5,0,0,2,0,0,0,0,5,0,2,0,0,0,0,0,6,0,1,2,5,0,0,0,2,0,0,0,0,4,1
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,13,0,0,0,0,0,9,0,0,0,1,0,0,3,0,0,0,10,0,0,0,0,10,1,0,1,10,2,0,0,0,1,2,0,13,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,3,0,13,1,0
0,9,14,0,0,0,11,0,0,3,4,6,1,0,0,1,2,8,2,6,0,2,16,0,0,1,0,6,10,7,0,5,11,0,0,8,0,13,1,3,8,0,0,0,2,11,0,10,0,0,0,0,0,12,0,8,14,13,2,0,0,7,0,4,0,3,11,4
0,0,4,0,0,0,2,0,0,0,4,0,0,0,0,2,1,2,0,0,0,1,11,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,2,0,0,0,3,0,0,0,0,7,2,7,0,0,0,0,3,0,2,4,0
0,7,24,0,0,0,9,0,0,3,37,2,1,0,3,8,2,1,2,5,0,1,35,0,0,1,1,15,10,8,0,7,8,0,0,17,2,8,1,15,45,0,0,2,1,7,0,13,0,0,2,0,0,7,0,7,27,8,10,0,1,9,0,12,1,10,10,3
0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,2,0,2,1,0,0,1,4,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,1,1,0,0,0,0,1,1,1,1,0
0,14,15,0,0,0,6,0,0,5,2,2,0,0,0,6,0,5,0,1,0,1,16,0,0,0,0,4,13,14,0,14,13,0,0,5,10,6,2,2,4,0,0,0,1,6,0,14,0,0,0,0,0,15,0,10,17,19,6,0,8,9,0,7,0,0,16,3
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
0,0,2,0,10,0,0,0,0,0,9,0,0,0,10,2,1,1,1,1,0,1,3,0,0,0,11,0,0,3,10,3,0,0,0,0,1,0,12,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,4,3,2,0,2,0,0,0,0,10,1,0
0,19,40,1,0,1,14,0,0,7,26,5,1,0,0,16,11,35,4,16,0,3,1,0,0,1,0,13,21,16,0,27,20,0,1,14,11,14,5,8,31,3,0,2,4,11,0,29,0,0,1,3,0,20,0,17,47,25,16,0,8,13,0,17,0,6,27,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0
0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0
0,0,0,0,10,0,0,0,0,0,6,0,0,0,10,0,0,1,0,0,0,11,0,0,0,0,1,0,0,0,10,1,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,10,0,0
0,6,15,0,0,0,6,0,0,2,7,0,1,0,1,6,0,15,1,4,0,0,13,0,0,1,0,1,6,4,0,1,6,0,0,13,0,6,0,10,14,0,0,0,0,5,0,6,0,0,0,0,0,5,0,7,10,5,0,0,0,6,0,6,0,4,5,3
0,16,19,0,0,0,7,0,0,4,1,2,1,0,0,10,1,10,1,13,0,0,21,0,0,1,0,6,1,10,0,18,13,0,0,8,10,9,0,3,8,0,0,0,3,7,0,19,0,3,0,0,0,16,0,12,24,18,10,0,9,12,3,9,0,2,21,3
0,10,16,0,0,0,9,0,0,4,12,1,0,0,1,7,3,8,1,14,0,3,16,0,0,0,0,4,10,1,0,18,10,0,1,5,7,4,3,5,8,0,0,0,1,4,0,13,0,0,0,0,0,13,0,7,24,17,10,0,8,7,0,12,0,5,15,2
0,0,0,0,11,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
5,12,19,4,2,2,4,2,0,5,12,0,0,0,2,5,1,7,1,14,0,3,27,0,4,0,1,1,18,18,0,1,9,1,3,1,21,4,7,0,5,0,0,2,6,2,0,34,1,4,1,0,2,14,0,8,104,30,29,0,13,6,4,13,0,1,33,1
0,15,16,0,0,0,10,0,0,5,0,5,0,0,0,11,0,8,0,13,0,0,20,0,0,1,0,6,13,10,0,9,1,0,0,8,7,12,0,2,7,0,0,0,0,11,0,15,0,0,0,0,0,16,0,11,16,17,6,0,7,12,0,4,0,0,15,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0
0,7,15,0,0,0,8,0,0,2,7,2,1,0,1,8,0,17,1,5,0,0,14,0,0,1,0,13,8,5,0,1,8,0,0,1,0,8,0,10,15,0,0,0,0,7,0,6,0,0,0,0,0,7,0,7,12,7,0,0,0,8,0,6,0,5,8,3
0,9,9,0,2,0,0,0,0,2,1,0,0,0,2,0,0,2,0,10,0,1,11,0,0,0,0,0,10,7,0,21,7,0,0,0,1,0,3,0,0,0,0,0,1,0,0,14,0,1,0,0,0,9,0,6,22,10,11,0,8,5,1,6,0,0,11,0
0,10,11,0,0,0,10,0,0,3,0,5,0,0,0,13,0,8,0,6,0,0,14,0,0,1,0,6,9,4,0,4,12,0,0,8,0,1,0,3,7,0,0,0,2,11,0,10,0,0,0,0,0,11,0,9,11,12,0,0,0,8,0,2,0,1,9,4
0,0,2,0,14,0,0,0,0,0,14,0,0,0,13,1,0,1,1,2,0,12,5,0,0,0,10,0,0,3,11,7,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,9,3,2,0,1,0,0,0,0,10,2,0
0,2,13,0,0,0,4,0,0,1,12,0,1,0,2,3,0,15,1,2,0,0,8,0,0,0,0,10,3,5,0,0,2,0,0,10,0,3,0,1,15,0,0,0,0,2,0,3,0,0,0,0,0,2,0,4,8,2,1,0,0,2,0,10,0,8,4,1
0,6,23,0,0,0,9,0,0,2,34,2,1,0,3,8,2,45,1,4,0,1,31,3,0,1,1,14,8,8,0,5,7,0,0,15,0,7,0,15,1,0,0,0,3,7,0,12,0,0,2,0,0,7,0,6,23,8,9,0,1,6,0,12,0,11,8,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
1,2,2,0,0,0,0,0,0,1,2,0,0,0,0,2,0,1,0,1,1,1,4,0,1,0,0,0,3,1,0,6,0,0,0,0,1,2,1,0,3,0,1,1,1,0,0,3,1,1,0,0,0,2,0,2,7,3,3,0,2,0,1,2,0,1,4,0
0,7,7,0,0,0,10,0,0,3,0,5,0,0,0,11,0,7,0,6,0,0,11,0,0,1,0,5,7,4,0,2,11,0,0,7,0,11,0,2,7,0,0,0,0,1,0,7,0,0,0,0,0,10,0,5,8,10,0,0,0,7,0,0,0,0,8,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,17,21,0,0,0,7,1,0,5,5,2,1,0,0,10,2,13,1,14,0,0,29,0,0,0,0,6,19,13,0,34,15,0,1,6,14,10,0,3,12,0,0,0,3,7,0,1,0,2,0,0,0,16,0,14,42,21,16,0,11,10,2,10,0,3,19,4
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,3,0,2,0,3,0,4,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,16,17,0,0,0,10,0,0,5,3,6,0,0,0,12,0,7,0,15,0,1,20,0,0,1,0,5,16,13,0,14,16,0,0,7,9,11,1,2,7,0,0,0,2,10,0,16,0,0,0,0,0,1,0,11,20,24,6,0,7,11,0,7,0,1,19,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,18,0,0,0,5,0,0,5,0,1,1,0,0,8,0,7,1,10,0,0,17,0,0,1,0,7,12,7,0,8,11,0,0,7,6,9,0,4,6,0,0,0,2,5,0,14,0,0,0,0,0,11,0,1,15,13,4,0,5,8,0,8,0,2,12,2
9,19,37,5,2,2,13,2,0,8,30,2,1,0,5,14,7,27,2,17,3,4,47,0,11,1,1,10,24,24,0,104,16,0,3,12,22,11,9,8,23,0,0,2,7,8,0,42,4,3,1,0,1,20,0,15,1,42,46,0,15,12,4,21,0,10,35,3
3,18,20,0,0,0,10,0,0,5,5,5,0,0,0,13,2,8,1,19,0,3,25,0,0,1,1,5,18,17,0,30,17,0,0,7,10,12,3,2,8,0,0,0,3,10,0,21,0,0,1,0,0,24,0,13,42,1,17,0,10,11,0,9,0,1,25,4
1,6,13,0,2,0,2,2,0,2,11,0,0,0,2,2,7,10,1,6,1,2,16,0,0,0,1,0,10,10,0,29,6,0,0,0,11,0,2,1,9,0,0,0,3,0,0,16,0,2,1,0,0,6,0,4,46,17,1,0,9,5,3,6,0,1,15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,7,7,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,8,0,2,8,0,0,0,1,0,9,8,0,13,7,0,0,0,8,0,1,0,1,0,0,0,2,0,0,11,0,3,1,0,0,7,0,5,15,10,9,0,1,4,4,4,0,0,10,0
0,11,11,0,0,0,7,0,0,4,0,2,0,0,0,7,0,9,0,9,0,0,13,0,0,1,0,6,12,7,0,6,12,0,0,8,5,8,0,2,6,0,0,0,0,7,0,10,0,0,0,0,0,11,0,8,12,11,5,0,4,1,0,3,0,0,10,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,4,0,0,0,0,0,0,4,0,3,0,4,0,1,0,0,0,2,0
0,8,17,0,0,0,7,0,0,4,12,0,1,0,3,4,3,12,1,7,0,0,17,0,0,0,0,6,9,12,0,13,4,0,2,6,6,2,0,10,12,0,0,0,2,0,0,10,0,0,0,0,0,7,0,8,21,9,6,0,4,3,0,1,0,11,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,8,0,10,0,3,0,0,0,15,0,1,0,13,3,2,10,1,0,0,10,6,0,0,0,10,4,2,5,10,1,0,0,0,5,0,1,10,8,11,0,0,0,1,0,0,3,0,0,1,0,0,1,0,2,10,1,1,0,0,0,0,11,0,1,5,0
2,16,20,1,0,0,9,0,0,6,7,4,1,0,1,11,4,10,1,16,0,1,27,0,1,0,0,5,21,15,0,33,15,0,0,8,11,9,2,4,8,0,0,1,4,8,0,19,0,2,0,0,1,19,0,12,35,25,15,0,10,10,2,10,0,5,1,3
0,3,3,0,0,0,4,0,0,2,0,1,0,0,0,4,0,3,0,3,0,0,4,0,0,0,0,3,3,2,0,1,4,0,0,3,0,4,0,1,4,0,0,0,0,4,0,4,0,0,0,0,0,4,0,2,3,4,0,0,0,3,0,0,0,0,3,1
