0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
73,74,107,79,76,69,70,68,62,67,83,66,62,62,75,73,74,1,68,76,66,75,111,65,76,62,72,62,81,84,73,189,74,63,65,62,82,69,86,63,72,65,77,63,75,66,74,105,66,66,64,65,67,81,62,73,221,107,119,66,78,66,67,78,62,75,105,63
19,27,72,25,22,15,25,14,8,16,65,14,8,8,24,25,22,68,1,27,12,21,88,11,22,9,19,22,36,37,19,141,28,9,11,24,30,23,32,23,62,11,23,11,22,19,20,63,12,12,11,11,13,34,8,25,192,60,74,12,25,21,13,35,8,30,60,12
30,24,73,36,33,26,30,25,19,22,75,23,20,19,35,32,33,76,27,1,23,32,87,22,33,20,30,30,35,35,30,139,26,20,22,31,31,28,42,33,70,22,34,22,32,24,31,61,23,23,23,22,24,30,19,27,188,53,80,23,28,23,24,40,20,42,56,20
13,23,73,20,18,11,21,10,4,12,62,10,5,4,20,23,18,66,12,23,1,18,88,7,17,5,15,19,33,34,15,138,24,5,7,21,26,19,29,20,59,7,19,7,17,15,16,60,6,8,8,7,9,30,4,22,187,57,70,8,21,17,9,32,5,27,57,8
25,33,81,31,18,21,31,20,14,22,63,20,15,14,20,31,27,75,21,32,18,1,95,17,28,15,14,29,43,41,15,145,34,15,17,31,35,29,27,30,68,17,29,17,27,25,26,70,18,18,17,17,19,39,14,32,196,64,79,18,29,27,19,42,15,27,66,18
95,84,113,100,98,90,87,90,84,85,116,85,84,84,100,87,87,111,88,87,88,95,1,87,98,84,95,86,92,98,95,191,84,85,86,87,95,85,104,92,108,84,99,85,94,84,96,111,88,88,87,84,89,90,84,85,223,112,135,88,93,84,89,95,85,101,110,84
14,22,72,20,17,10,20,9,3,11,61,9,4,3,19,22,17,65,11,22,7,17,87,1,17,4,14,18,32,33,14,137,23,4,6,20,25,18,28,19,55,6,18,6,17,14,15,59,7,7,7,6,8,29,3,21,189,56,70,7,20,16,8,31,4,26,56,7
21,33,83,31,28,21,31,20,14,22,72,20,15,14,30,33,28,76,22,33,17,28,98,17,1,15,25,29,43,44,25,144,34,15,17,31,36,29,39,30,69,17,29,17,27,25,26,70,16,18,18,17,19,40,14,32,189,67,81,18,31,27,19,42,15,37,66,18
12,19,69,18,15,8,17,7,1,9,59,7,2,1,17,19,15,62,9,20,5,15,84,4,15,1,12,15,29,31,12,135,20,2,4,17,23,15,26,17,55,4,16,4,15,11,13,57,5,5,5,4,6,26,1,18,186,53,68,5,18,13,6,29,2,24,54,5
22,30,80,28,15,18,28,17,11,19,63,17,12,11,17,30,25,72,19,30,15,14,95,14,25,12,1,26,40,41,12,144,31,12,14,28,33,26,26,27,65,14,26,14,25,22,23,67,15,15,14,14,16,37,11,29,196,63,77,15,27,24,16,39,12,24,64,15
26,28,69,32,29,22,26,21,15,21,66,21,15,15,30,28,29,62,22,30,19,29,86,18,29,15,26,1,38,41,26,148,29,16,18,19,37,24,40,21,56,18,30,18,29,21,27,65,19,19,19,18,20,36,15,26,191,63,82,19,32,22,20,37,16,34,63,16
40,32,79,46,43,36,39,35,29,33,86,33,29,29,45,38,42,81,36,35,33,43,92,32,43,29,40,38,1,49,40,145,36,30,32,38,41,35,54,42,76,32,44,32,40,33,41,66,33,30,33,32,34,39,29,35,191,64,86,33,37,30,31,48,30,50,61,30
41,39,83,47,44,37,38,36,30,34,76,35,31,30,45,42,41,84,37,35,34,41,98,33,44,31,41,41,49,1,41,146,40,31,32,42,45,41,52,41,77,33,45,33,43,37,42,73,34,34,34,33,35,43,30,41,192,66,87,34,39,36,35,46,31,48,68,32
22,30,80,28,14,18,28,17,11,19,64,17,12,11,17,30,25,73,19,30,15,15,95,14,25,12,12,26,40,41,1,145,31,12,14,28,33,26,25,27,66,14,26,14,25,22,23,67,15,15,15,14,16,37,11,29,197,64,78,15,28,24,16,39,12,24,64,15
140,141,184,147,146,139,147,138,134,137,180,140,135,134,148,148,147,189,141,139,138,145,191,137,144,135,144,148,145,146,145,1,145,134,134,150,135,145,152,150,184,137,149,135,142,143,146,156,137,134,137,137,137,146,134,144,216,157,172,138,138,141,135,149,135,156,154,137
31,24,73,37,34,27,27,26,20,23,78,21,21,20,36,28,34,74,28,26,24,34,84,23,34,20,31,29,36,40,31,145,1,21,23,29,35,23,45,34,68,23,35,23,34,20,32,61,24,24,24,23,25,30,20,27,190,56,81,24,30,21,25,44,21,43,58,20
12,20,70,18,15,8,18,7,1,9,59,7,2,1,17,20,15,63,9,20,5,15,85,4,15,2,12,16,30,31,12,134,21,1,4,18,23,16,26,17,56,4,16,4,15,12,13,57,5,5,5,4,6,27,1,19,187,54,68,5,18,14,6,29,2,24,54,5
14,22,72,20,17,10,19,9,3,10,61,9,4,3,19,22,17,65,11,22,7,17,86,6,17,4,14,18,32,32,14,134,23,4,1,20,25,18,28,19,58,6,18,6,17,14,15,58,7,7,7,6,8,29,3,21,186,56,70,7,20,16,8,29,4,26,56,7
28,29,71,34,31,24,26,23,17,23,68,21,17,17,32,28,31,62,24,31,21,31,87,20,31,17,28,19,38,42,28,150,29,18,20,1,39,24,42,23,57,20,32,20,31,21,29,67,21,21,21,20,22,36,17,28,191,63,84,21,34,22,22,39,18,35,62,18
33,32,82,39,34,29,39,28,22,28,79,28,23,22,36,41,36,82,30,31,26,35,95,25,36,23,33,37,41,45,33,135,35,23,25,39,1,37,44,38,77,25,37,25,35,33,34,64,26,25,26,25,27,39,22,34,186,65,78,26,31,30,26,44,23,45,64,26
26,24,73,32,29,22,22,21,15,20,73,16,16,15,31,21,29,69,23,28,19,29,85,18,29,15,26,24,35,41,26,145,23,16,18,24,37,1,40,28,63,18,30,18,27,15,27,61,19,19,19,18,20,30,15,24,190,56,82,19,32,20,20,41,16,37,59,15
36,44,92,42,25,32,42,31,25,33,69,31,26,25,28,43,39,86,32,42,29,27,104,28,39,26,26,40,54,52,25,152,45,26,28,42,44,40,1,41,80,28,40,28,38,36,37,81,29,29,29,28,30,50,25,43,202,75,90,29,41,38,30,53,26,38,76,29
27,33,72,33,30,23,29,22,16,23,62,22,16,16,30,32,30,63,23,33,20,30,92,19,30,17,27,21,42,41,27,150,34,17,19,23,38,28,41,1,56,19,31,19,30,25,28,69,20,20,20,19,21,40,16,30,194,67,82,20,33,27,21,34,17,31,65,19
66,68,101,72,69,62,63,61,55,61,79,59,55,55,68,66,67,72,62,70,59,68,108,55,69,55,65,56,76,77,66,184,68,56,58,57,77,63,80,56,1,58,70,58,66,59,67,99,59,59,57,58,60,74,55,67,218,100,113,59,71,62,60,71,56,67,100,55
14,22,72,20,17,10,20,9,3,11,61,9,4,3,19,22,14,65,11,22,7,17,84,6,17,4,14,18,32,33,14,137,23,4,6,20,25,18,28,19,58,1,18,6,17,14,15,59,7,7,7,3,8,29,3,21,189,56,70,7,20,16,8,31,4,26,56,7
26,34,84,32,29,22,32,21,15,23,73,21,16,15,31,34,29,77,23,34,19,29,99,18,29,16,26,30,44,45,26,149,35,16,18,32,37,30,40,31,70,18,1,18,28,26,15,71,19,19,19,18,20,41,15,33,201,68,82,17,32,28,20,43,16,38,68,19
14,22,71,20,17,10,20,9,3,10,60,9,4,3,19,22,17,63,11,22,7,17,85,6,17,4,14,18,32,33,14,135,23,4,6,20,25,18,28,19,58,6,18,1,16,14,15,59,7,7,7,6,8,29,3,21,187,56,70,7,20,16,8,31,4,26,55,7
24,31,81,31,28,21,31,20,14,21,70,20,15,14,30,31,28,75,22,32,17,27,94,17,27,15,25,29,40,43,25,142,34,15,17,31,35,27,38,30,66,17,28,16,1,25,26,67,17,17,18,17,19,38,14,30,193,64,78,18,29,27,18,40,15,36,63,18
22,23,73,28,25,18,18,17,11,16,69,12,12,11,27,19,25,66,19,24,15,25,84,14,25,11,22,21,33,37,22,143,20,12,14,21,33,15,36,25,59,14,26,14,25,1,23,60,15,15,15,14,16,27,11,24,189,54,78,15,28,17,16,39,12,34,56,11
23,31,81,29,26,19,29,18,12,20,70,18,13,12,28,31,26,74,20,31,16,26,96,15,26,13,23,27,41,42,23,146,32,13,15,29,34,27,37,28,67,15,15,15,26,23,1,68,16,16,16,15,17,38,12,30,198,65,79,16,29,25,17,40,13,35,65,16
67,58,104,73,70,63,66,61,56,59,109,60,56,56,72,65,68,105,63,61,60,70,111,59,70,57,67,65,66,73,67,156,61,57,58,67,64,61,81,69,99,59,71,59,67,60,68,1,60,58,60,59,61,66,56,60,200,88,107,60,62,59,59,74,57,76,90,56
12,23,73,21,18,11,21,10,4,12,62,10,5,4,20,23,18,66,12,23,6,18,88,7,16,5,15,19,33,34,15,137,24,5,7,21,26,19,29,20,59,7,19,7,17,15,16,60,1,8,8,7,9,30,4,22,186,57,71,8,21,17,9,32,5,27,57,8
15,23,73,21,18,11,21,10,4,12,62,10,5,4,20,23,18,66,12,23,8,18,88,7,18,5,15,19,30,34,15,134,24,5,7,21,25,19,29,20,59,7,19,7,17,15,16,58,8,1,8,7,9,30,4,22,187,57,69,8,18,17,5,32,5,27,55,8
15,23,73,21,18,11,21,10,4,12,61,10,5,4,20,23,18,64,11,23,8,17,87,7,18,5,14,19,33,34,15,137,24,5,7,21,26,19,29,20,57,7,19,7,18,15,16,60,8,8,1,7,9,30,4,22,189,56,70,8,20,17,9,32,4,26,57,8
14,22,72,20,17,10,20,9,3,11,61,9,4,3,19,22,14,65,11,22,7,17,84,6,17,4,14,18,32,33,14,137,23,4,6,20,25,18,28,19,58,3,18,6,17,14,15,59,7,7,7,1,8,29,3,21,189,56,70,7,20,16,8,31,4,26,56,7
16,24,71,17,19,11,22,11,5,13,63,11,6,5,21,24,19,67,13,24,9,19,89,8,19,6,16,20,34,35,16,137,25,6,8,22,27,20,30,21,60,8,20,8,19,16,17,61,9,9,9,8,1,31,5,23,190,58,72,9,22,18,10,33,6,28,57,9
37,29,78,43,40,33,33,32,26,29,81,26,27,26,42,33,40,81,34,30,30,39,90,29,40,26,37,36,39,43,37,146,30,27,29,36,39,30,50,40,74,29,41,29,38,27,38,66,30,30,30,29,31,1,26,33,192,55,87,30,36,28,31,47,27,48,60,26
11,19,69,17,14,7,17,6,0,8,58,6,1,0,16,19,14,62,8,19,4,14,84,3,14,1,11,15,29,30,11,134,20,1,3,17,22,15,25,16,55,3,15,3,14,11,12,56,4,4,4,3,5,26,1,18,186,53,67,4,17,13,5,28,1,23,53,4
29,23,69,35,32,25,30,24,18,21,76,23,18,18,34,29,32,73,25,27,22,32,85,21,32,18,29,26,35,41,29,144,27,19,21,28,34,24,43,30,67,21,33,21,30,24,30,60,22,22,22,21,23,33,18,1,189,58,81,22,30,23,23,38,19,39,59,20
188,186,218,198,198,191,190,190,186,186,214,190,186,186,197,191,193,221,192,188,187,196,223,189,189,186,196,191,191,192,197,216,190,187,186,191,186,190,202,194,218,189,201,187,193,189,198,200,186,187,189,189,190,192,186,189,1,197,207,190,188,187,187,193,187,199,204,187
61,54,102,70,67,60,60,59,53,56,106,54,54,53,69,59,65,107,60,53,57,64,112,56,67,53,63,63,64,66,64,157,56,54,56,63,65,56,75,67,100,56,68,56,64,54,65,88,57,57,56,56,58,55,53,58,197,1,103,57,60,55,58,72,54,75,81,53
77,80,123,84,79,74,82,71,67,73,114,73,68,67,81,84,74,119,74,80,70,79,135,70,81,68,77,82,86,87,78,172,81,68,70,84,78,82,90,82,113,70,82,70,78,78,79,107,71,69,70,70,72,87,67,81,207,103,1,71,75,75,69,89,68,89,105,71
15,23,73,21,18,11,21,10,4,12,62,10,5,4,20,23,18,66,12,23,8,18,88,7,18,5,15,19,33,34,15,138,24,5,7,21,26,19,29,20,59,7,17,7,18,15,16,60,8,8,8,7,9,30,4,22,190,57,71,1,21,17,9,32,5,27,57,8
28,29,79,34,31,24,34,23,17,23,73,23,18,17,33,36,31,78,25,28,21,29,93,20,31,18,27,32,37,39,28,138,30,18,20,34,31,32,41,33,71,20,32,20,29,28,29,62,21,18,20,20,22,36,17,30,188,60,75,21,1,26,18,41,18,40,60,21
24,21,71,30,27,20,23,19,13,17,71,17,14,13,29,25,27,66,21,23,17,27,84,16,27,13,24,22,30,36,24,141,21,14,16,22,30,20,38,27,62,16,28,16,27,17,25,59,17,17,17,16,18,28,13,23,187,55,75,17,26,1,18,38,14,36,56,14
16,24,74,22,19,12,22,11,5,13,63,11,6,5,21,24,19,67,13,24,9,19,89,8,19,6,16,20,31,35,16,135,25,6,8,22,26,20,30,21,60,8,20,8,18,16,17,59,9,5,9,8,10,31,5,23,187,58,69,9,18,18,1,33,6,28,56,9
39,39,80,45,42,35,38,34,28,32,74,34,28,28,41,43,39,78,35,40,32,42,95,31,42,29,39,37,48,46,39,149,44,29,29,39,44,41,53,34,71,31,43,31,40,39,40,74,32,32,32,31,33,47,28,38,193,72,89,32,41,38,33,1,29,40,71,32
12,20,70,18,15,8,18,7,1,9,59,7,2,1,17,20,15,62,8,20,5,15,85,4,15,2,12,16,30,31,12,135,21,2,4,18,23,16,26,17,56,4,16,4,15,12,13,57,5,5,4,4,6,27,1,19,187,54,68,5,18,14,6,29,1,24,54,5
34,41,84,40,27,30,37,29,23,31,66,29,23,23,26,39,35,75,30,42,27,27,101,26,37,24,24,34,50,48,24,156,43,24,26,35,45,37,38,31,67,26,38,26,36,34,35,76,27,27,26,26,28,48,23,39,199,75,89,27,40,36,28,40,24,1,71,27
62,56,102,69,67,60,61,59,53,55,104,55,53,53,68,61,63,105,60,56,57,66,110,56,66,54,64,63,61,68,64,154,58,54,56,62,64,59,76,65,100,56,68,55,63,56,65,90,57,55,57,56,57,60,53,59,204,81,105,57,60,56,56,71,54,71,1,54
15,20,70,21,18,11,17,10,4,10,62,9,5,4,20,19,18,63,12,20,8,18,84,7,18,5,15,16,30,32,15,137,20,5,7,18,26,15,29,19,55,7,19,7,18,11,16,56,8,8,8,7,9,26,4,20,187,53,71,8,21,14,9,32,5,27,54,1
